[2024-03-18 13:28:08,078: INFO: main: Welcome to CNN Classifer]
[2024-06-21 12:10:34,616: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-21 12:24:52,458: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-21 12:24:52,460: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-21 12:24:52,461: INFO: common: created directory at: artifacts]
[2024-06-21 12:26:32,962: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-06-21 12:26:32,964: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-21 12:26:32,965: INFO: common: created directory at: artifacts]
[2024-06-21 12:26:32,967: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-21 12:26:32,968: INFO: 586056171: Downloading data from https://drive.google.com/file/d/1uoznzhp0uB0gOTIFkNIFm5Jiy7l3U716/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-21 12:26:50,098: INFO: 586056171: Downloaded data from https://drive.google.com/file/d/1uoznzhp0uB0gOTIFkNIFm5Jiy7l3U716/view?usp=sharing into file artifacts/data_ingestion/data.zip]
